"JURISDICTION","Sum(COUNT)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Drug_Test_Per_10k_Licences"
"SA",67512,"SA","Female",2022,32745,46759,52736,113528,103356,108017,100462,71213,23862,652678,1034.3844897483905
"SA",67512,"SA","Female",2023,33561,46553,53110,114417,104409,107775,101056,72611,24577,658069,1025.9106567852307
"SA",67512,"SA","Male",2021,32543,48923,54521,111365,104117,109452,99868,70735,27578,659102,1024.302763456946
"WA",76921,"WA","Female",2011,21329,64067,73131,148221,156939,138723,96481,47350,14367,760608,1011.3093735537885
"SA",67512,"SA","Female",2024,34850,46684,53321,116317,106635,107250,102475,75182,26271,668985,1009.1706092064845
"SA",67512,"SA","Male",2022,33756,49683,57264,115418,105263,109711,101978,73958,28705,675736,999.0884013875241
"WA",76921,"WA","Female",2012,20359,63475,74314,149324,158874,141849,100898,49970,15497,774560,993.092852716381
"SA",67512,"SA","Male",2023,34593,49999,57749,116660,105887,109383,102634,74938,29354,681197,991.0789389853448
"NT",5879,"NT","Female",2010,3162,5458,7235,14042,12754,10291,5038,1304,289,59573,986.856461819952
"NT",5879,"NT","Female",2011,3142,5426,7318,13817,12830,10429,5348,1435,319,60064,978.7892914224827
"SA",67512,"SA","Male",2024,36089,50731,58456,119092,108281,108698,103999,76692,30637,692675,974.6562240589021
"NT",5879,"NT","Female",2012,3182,5736,7573,14396,13076,10863,5686,1609,343,62464,941.1821209016393
"WA",76921,"WA","Male",2010,26147,69621,79860,159425,165955,143835,103801,53491,19263,821398,936.4644179800778
"WA",76921,"WA","Male",2011,25372,71201,83785,161487,169921,147485,108605,54906,20377,843139,912.3169489253847
"WA",76921,"WA","Male",2012,23276,67623,82865,161301,170909,150066,112263,57264,21148,846715,908.4638869040941
"NT",5879,"NT","Female",2013,3099,6167,8068,15256,13404,11352,6091,1791,374,65602,896.1617023871224
"WA",76921,"WA","Female",2013,48061,76945,86950,165115,167363,148392,106604,52908,16543,868881,885.2880889327768
"NT",5879,"NT","Female",2014,3113,6225,8316,15754,13526,11499,6441,1966,405,67245,874.2657446650308
"NT",5879,"NT","Female",2015,2990,6222,8441,16224,13459,11606,6617,2087,443,68089,863.4287476684926
"WA",76921,"WA","Female",2014,48568,76540,89673,170626,168921,151556,111103,56610,17454,891051,863.2614743712762
"WA",76921,"WA","Female",2015,49363,75915,90519,175835,170041,153390,115420,59960,19074,909517,845.7346041910156
"NT",5879,"NT","Female",2016,3134,6178,8561,16901,13712,11611,6880,2265,455,69697,843.5083289094223
"WA",76921,"WA","Female",2016,51467,74832,89957,180718,170694,154639,120115,63445,20717,926584,830.1567909655249
"NT",5879,"NT","Female",2017,3269,6156,8749,17400,13718,11619,7080,2464,505,70960,828.4949267192784
"WA",76921,"WA","Female",2017,50433,73973,88039,183798,170874,155583,122010,69229,22557,936496,821.3702994994105
