"JURISDICTION","Sum(COUNT)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Drug_Test_Per_10k_Licences"
"WA",76921,"WA","Persons",2013,102065,165828,192910,354616,353343,308463,225529,113088,38604,1854446,414.7923422952192
"VIC",101075,"VIC","Female",2022,112344,177820,215658,496783,426091,397689,327570,221344,86907,2462206,410.50586344115806
"VIC",101075,"VIC","Male",2021,109498,188715,233457,494662,426038,392087,322265,219101,92765,2478588,407.7926625966074
"WA",76921,"WA","Persons",2014,102413,164054,197154,367352,355874,315275,233679,120458,40301,1896560,405.58168473446665
"VIC",101075,"VIC","Male",2022,115317,186231,232080,496622,429850,394983,328066,225720,97761,2506630,403.23063236297344
"NT",5879,"NT","Persons",2013,6621,14007,17770,32681,29300,25461,15004,4613,947,146404,401.56006666484524
"VIC",101075,"VIC","Female",2023,119592,182273,220101,508797,435676,402315,334868,231179,92588,2527389,399.9186512246433
"WA",76921,"WA","Persons",2015,103386,161666,197094,378025,357228,319673,241032,127028,43298,1928430,398.87888074755114
"WA",76921,"WA","Persons",2016,104949,159057,193549,386029,357871,321531,249552,133959,46382,1952879,393.88513061997185
"VIC",101075,"VIC","Male",2023,123564,192647,237825,508596,440467,397781,335311,232879,101452,2570522,393.20807213476485
"WA",76921,"WA","Persons",2017,104482,156731,186824,389699,356505,323108,252302,145374,50006,1965031,391.44929520195865
"NT",5879,"NT","Persons",2014,6595,14117,18638,33922,29722,25941,15684,5020,1014,150653,390.234512422587
"WA",76921,"WA","Persons",2018,105084,155001,180116,391072,354869,324924,257347,155203,54159,1977775,388.92695074009936
"VIC",101075,"VIC","Female",2024,125595,189215,229200,524775,448121,407090,342488,239606,100045,2606135,387.8348589002489
"NT",5879,"NT","Persons",2015,6438,13730,18917,34892,29765,26092,16099,5259,1076,152268,386.095568340032
"WA",76921,"WA","Persons",2019,104011,155544,176248,393419,353480,327646,262236,163343,56453,1992380,386.0759493670886
"ACT",5432,"ACT","Female",2010,8543,13928,15520,28977,26512,23188,14971,6305,2780,140724,386.00380887410813
"WA",76921,"WA","Persons",2020,104380,155636,174048,397417,354131,330739,267221,170562,59202,2013336,382.0574409835219
"VIC",101075,"VIC","Male",2024,130337,203151,247229,528305,454469,401284,342694,239676,107128,2654273,380.80107057563407
"NT",5879,"NT","Persons",2016,6622,13671,18726,36048,30010,26100,16468,5654,1106,154405,380.75191865548396
"WA",76921,"WA","Persons",2021,104380,155829,172995,400462,355148,335564,272676,177876,61352,2036282,377.7521973871988
"ACT",5432,"ACT","Female",2011,8706,14072,15763,29561,26972,23532,15788,6636,3048,144078,377.0180041366482
"QLD",118070,"QLD","Persons",2010,189988,267487,290949,594225,604367,531965,397086,190742,65532,3132341,376.9385261694049
"NT",5879,"NT","Persons",2017,6880,13755,18638,36884,29943,26176,16733,6152,1183,156344,376.0297804840608
"NT",5879,"NT","Persons",2019,6880,13755,18638,36884,29943,26176,16733,6152,1183,156344,376.0297804840608
"NT",5879,"NT","Persons",2018,7015,13614,18229,37263,29924,26103,17127,6698,1323,157296,373.75394161326415
"NT",5879,"NT","Persons",2020,6866,12863,18003,37625,29156,25930,17758,7851,1779,157831,372.48702726333863
"ACT",5432,"ACT","Male",2010,9186,14594,15948,29876,26886,23056,16164,7203,3497,146410,371.0129089543064
"WA",76921,"WA","Persons",2022,109416,157251,175675,404703,360036,340695,279346,185439,65702,2078263,370.1215871138542
"NT",5879,"NT","Persons",2022,6846,12621,17557,37928,28692,25945,18373,8833,2268,159063,369.60198160477296
"NT",5879,"NT","Persons",2021,6900,12920,17827,38057,28870,26125,18122,8396,1991,159208,369.2653635495704
"ACT",5432,"ACT","Female",2012,8581,14401,16193,30372,27560,23826,16582,7125,3307,147947,367.15850946622777
"NT",5879,"NT","Persons",2023,8078,13394,18340,37906,28692,25643,18092,8911,2305,161361,364.3383469363725
"QLD",118070,"QLD","Persons",2011,193307,275332,303071,606511,623699,549372,417684,200880,71083,3240939,364.3079983918241
"ACT",5432,"ACT","Male",2011,9022,15067,16457,30452,27571,23405,16831,7442,3849,150096,361.90171623494297
"WA",76921,"WA","Persons",2023,114080,159968,182629,412190,368903,343951,286467,194772,69297,2132257,360.7491967431693
"ACT",5432,"ACT","Female",2013,8336,14421,16489,31080,28214,24003,17301,7562,3576,150982,359.777986779881
"NT",5879,"NT","Persons",2024,8329,13932,18262,38074,29062,25452,18333,9371,2601,163416,359.756694570911
"QLD",118070,"QLD","Persons",2012,191183,275461,303843,606885,632583,564245,435685,214300,76819,3301004,357.67905764428036
"ACT",5432,"ACT","Female",2015,8290,14442,16454,31843,28544,24384,17867,8078,3903,153805,353.1744741718409
"ACT",5432,"ACT","Male",2012,8887,15245,16913,31435,28147,23842,17383,7938,4104,153894,352.97022625963325
"ACT",5432,"ACT","Female",2014,8199,14419,16448,31843,29544,24387,17878,8082,3903,154703,351.1244125841128
"WA",76921,"WA","Persons",2024,119545,164323,191553,423121,380167,346702,293147,202412,73846,2194816,350.4667361637604
"QLD",118070,"QLD","Persons",2013,192768,281149,307302,616463,641107,577421,452575,224632,81407,3374824,349.8552813420789
"QLD",118070,"QLD","Persons",2014,192647,279457,300027,610774,636773,581850,459941,237065,85737,3384271,348.8786802238946
"ACT",5432,"ACT","Male",2013,8555,15397,17050,32390,28711,24059,17996,8294,4400,156852,346.3137224899906
"NSW",165585,"NSW","Persons",2010,280502,377598,418693,919903,929485,828019,609326,313870,114094,4791490,345.5814370895066
"QLD",118070,"QLD","Persons",2015,193946,281880,300547,617818,640514,589151,471355,252182,84777,3432171,344.0096661850473
"ACT",5432,"ACT","Male",2015,8515,15049,16864,33045,29036,24302,18360,8623,4668,158462,342.7951180724716
"ACT",5432,"ACT","Male",2014,8452,15182,17050,33306,29204,24416,18459,8749,4723,159541,340.47674265549296
"NSW",165585,"NSW","Persons",2011,281846,390083,427070,926350,940947,846918,634141,324218,122115,4893688,338.3644400705562
"ACT",5432,"ACT","Female",2017,8539,14033,16682,34616,29410,24852,18930,10211,3406,160679,338.06533523360235
"ACT",5432,"ACT","Female",2021,5716,12165,15705,35571,30277,25009,19310,13038,4317,161108,337.16513146460755
"QLD",118070,"QLD","Persons",2016,196668,284999,306160,631957,647736,596649,484640,267454,89443,3505706,336.79378704318043
"ACT",5432,"ACT","Female",2020,7247,12751,15851,35454,29926,24704,19225,12278,4043,161479,336.390490404325
"ACT",5432,"ACT","Female",2016,8575,13576,16365,34868,29879,25313,19455,10517,3868,162416,334.44980790069945
"ACT",5432,"ACT","Female",2019,8155,13431,16522,35837,29920,24765,19342,11577,3794,163343,332.5517469374262
"NSW",165585,"NSW","Persons",2012,282504,399270,430886,928400,950750,867833,658219,338836,128275,4984973,332.16829860462633
"ACT",5432,"ACT","Male",2017,8422,14520,16987,35443,30299,24750,18829,10474,4013,163737,331.7515283656107
"ACT",5432,"ACT","Female",2018,8310,13982,16995,35836,29972,24991,19191,10937,3591,163805,331.61380910228627
"QLD",118070,"QLD","Persons",2017,199487,288028,312317,645427,653734,604605,491048,290360,95830,3580836,329.7274714619715
"ACT",5432,"ACT","Male",2020,7535,13307,16829,36216,30724,24851,18643,12239,4531,164875,329.46171341925697
"ACT",5432,"ACT","Male",2021,5907,12758,17055,36723,31083,25259,18835,12773,4738,165131,328.9509540909944
"ACT",5432,"ACT","Male",2016,8646,14176,16798,35636,30792,25262,19353,10834,4462,165959,327.30975722919516
"NSW",165585,"NSW","Persons",2013,283613,401075,430358,935171,955137,885506,683500,353246,133156,5060762,327.19380994403605
"ACT",5432,"ACT","Male",2019,8306,14036,16973,36283,30900,24928,18797,11695,4271,166189,326.85677150713946
"ACT",5432,"ACT","Male",2018,8305,14484,17402,36441,30755,25077,18987,11099,4155,166705,325.8450556372034
"ACT",5432,"ACT","Female",2022,8504,12423,16475,36167,30686,25139,19318,13573,4794,167079,325.1156638476409
"ACT",5432,"ACT","Male",2022,8805,12949,17309,36683,31195,25080,18027,12360,5096,167504,324.2907632056548
"QLD",118070,"QLD","Persons",2018,208630,290909,317458,658096,658527,611648,501215,309614,101546,3657643,322.8035103480575
"NSW",165585,"NSW","Persons",2014,285033,402292,434865,948604,959280,900684,701652,372618,137368,5142396,321.9997059736356
"ACT",5432,"ACT","Female",2023,8931,12072,16556,36502,31207,25645,19528,14257,5168,169866,319.7814748095558
"QLD",118070,"QLD","Persons",2019,204843,291060,321696,671412,661936,619730,512644,327811,108634,3719766,317.412439384628
"ACT",5432,"ACT","Male",2023,9404,13024,17227,37092,32021,25637,18318,13104,5346,171173,317.33976736985386
"NSW",165585,"NSW","Persons",2015,286804,406781,445364,970421,970801,911892,720235,391388,142069,5245755,315.6552298000955
"ACT",5432,"ACT","Female",2024,9199,11814,16273,36804,32081,25865,19934,14800,5680,172450,314.9898521310525
"ACT",5432,"ACT","Male",2024,9793,12890,16737,37503,32928,26216,19202,13981,5756,175006,310.3893580791516
"NSW",165585,"NSW","Persons",2016,289463,407985,454833,992130,978408,917622,739051,410034,148421,5337947,310.20352955921066
"QLD",118070,"QLD","Persons",2020,208782,295954,327328,690033,669528,630896,524852,345723,113301,3806397,310.1883487192744
"NSW",165585,"NSW","Persons",2017,291462,411608,464784,1017995,986418,922331,748559,440900,155654,5439711,304.40036244572553
"QLD",118070,"QLD","Persons",2021,214345,300939,330482,703077,671564,643835,539733,364320,120691,3888986,303.60099007813346
"NSW",165585,"NSW","Persons",2018,295847,413587,471416,1040162,993656,924156,761634,466067,162660,5529185,299.4745156835953
"QLD",118070,"QLD","Persons",2022,219995,304327,332279,715044,679067,656132,555429,381091,129774,3973138,297.17064949669503
"NSW",165585,"NSW","Persons",2019,295246,416390,476487,1060671,997503,928063,775230,486952,169633,5606175,295.36181086034594
"NSW",165585,"NSW","Persons",2020,294956,417297,478454,1074097,1000800,931260,781544,497326,172593,5648327,293.15760224222146
"QLD",118070,"QLD","Persons",2023,230357,307447,334709,723108,688228,664414,569434,396682,137345,4051724,291.40681843087043
"NSW",165585,"NSW","Persons",2021,301815,426412,483519,1099633,1010670,939385,803775,526533,184147,5775889,286.6831408983102
"QLD",118070,"QLD","Persons",2024,242566,314415,342560,739343,704121,672847,582472,408417,148211,4154952,284.1669410380673
"NSW",165585,"NSW","Persons",2022,307908,432610,488658,1115792,1026229,955302,830732,569775,233210,5960216,277.81711266839994
"NSW",165585,"NSW","Persons",2023,320366,439886,494966,1126407,1040169,958083,841753,582242,236486,6040358,274.13110282536235
"NSW",165585,"NSW","Persons",2024,333694,452045,509490,1142329,1059429,962664,856372,598177,252026,6166226,268.5354056111469
"VIC",101075,"VIC","Persons",2010,222584,342764,377366,769433,762839,654276,473204,253675,122181,3978322,254.06440202678414
"VIC",101075,"VIC","Persons",2011,222824,348543,387888,772201,775274,668899,493618,261994,129341,4060582,248.91751970530333
"VIC",101075,"VIC","Persons",2012,220040,351984,396698,782056,787243,684165,511596,272699,129244,4135725,244.39487635178838
"VIC",101075,"VIC","Persons",2013,218598,352262,404966,804243,798027,701462,534336,283350,130986,4228230,239.0480177284585
"VIC",101075,"VIC","Persons",2014,217622,355894,410775,824416,805679,715458,550973,296927,132943,4310687,234.47538640592555
"VIC",101075,"VIC","Persons",2015,217127,358834,417418,845931,813317,725789,566483,311096,128614,4384609,230.52226549733396
"VIC",101075,"VIC","Persons",2016,218166,361029,423110,871888,821708,735261,583444,326140,133756,4474502,225.89106005539833
"VIC",101075,"VIC","Persons",2017,217207,364588,426492,897943,830253,744291,591258,352149,141414,4565595,221.38406932721801
"VIC",101075,"VIC","Persons",2018,222725,366174,433636,926179,837363,754403,603666,374510,147108,4665764,216.63118837558008
"VIC",101075,"VIC","Persons",2019,220039,367377,439447,950061,841208,764658,617869,393319,154561,4748539,212.85494338363864
"VIC",101075,"VIC","Persons",2020,197008,364936,443981,970255,847693,775244,630814,413473,164302,4807706,210.23540124957725
"VIC",101075,"VIC","Persons",2021,216731,365357,447786,984567,847784,784459,642837,431769,173853,4895143,206.48017841358262
"VIC",101075,"VIC","Persons",2022,227661,364051,447738,993405,855941,792672,655636,447064,184668,4968836,203.41786285560642
"VIC",101075,"VIC","Persons",2023,243156,374920,457926,1017393,876143,800096,670179,464058,194040,5097911,198.26748642728364
"VIC",101075,"VIC","Persons",2024,255932,392366,476429,1053080,902590,808374,685182,479282,207173,5260408,192.14289081759438
"ACT",5432,"ACT","Persons",2010,17729,28522,31468,58853,53398,46244,31135,13508,6277,287134,189.17996475513172
"ACT",5432,"ACT","Persons",2011,17728,29139,32220,60013,54543,46937,32619,14078,6897,294174,184.65262055790112
"ACT",5432,"ACT","Persons",2012,17468,29646,33106,61807,55707,47668,33965,15063,7411,301841,179.96229803108258
"ACT",5432,"ACT","Persons",2013,16891,29818,33539,63470,56925,48062,35297,15856,7976,307834,176.4587407498847
"ACT",5432,"ACT","Persons",2015,16805,29491,33318,64888,57580,48686,36227,16701,8571,312267,173.95369987862952
"ACT",5432,"ACT","Persons",2014,16651,29601,33498,65149,58748,48803,36337,16831,8626,314244,172.85930678071816
"ACT",5432,"ACT","Persons",2017,16967,28556,33674,70064,59711,49603,37759,20686,7419,324439,167.42746710475623
"ACT",5432,"ACT","Persons",2021,11646,24947,32797,72367,61392,50286,38147,25816,9056,326454,166.39404020168232
"ACT",5432,"ACT","Persons",2020,14798,26071,32701,71723,60671,49567,37870,24519,8575,326495,166.3731450711343
"ACT",5432,"ACT","Persons",2016,17221,27752,33163,70505,60671,50576,38808,21351,8330,328377,165.4196243951312
"ACT",5432,"ACT","Persons",2019,16473,27479,33522,72151,60832,49701,38141,23273,8065,329637,164.78732666539253
"ACT",5432,"ACT","Persons",2018,16624,28476,34411,72295,60732,50075,38178,22037,7746,330574,164.32024297131656
"ACT",5432,"ACT","Persons",2022,17364,25413,33834,72940,61925,50241,37352,25940,9891,334900,162.1976709465512
"ACT",5432,"ACT","Persons",2023,18403,25149,33840,73700,63278,51307,37855,27372,10516,341420,159.1002284576182
"ACT",5432,"ACT","Persons",2024,19066,24762,33079,74422,65074,52110,39147,28791,11441,347892,156.14041139204122
