"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"SA",6347,"SA","Male",2016,32284,48076,50361,102775,107821,109985,94959,58629,24429,624838,101.57832910290347
"SA",6347,"SA","Male",2017,31867,48385,50659,104167,107194,109884,94955,59126,24003,630240,100.7076669205382
"NSW",26153,"NSW","Male",2013,144415,202781,215411,470168,482750,455140,360292,192797,76917,2600671,100.56250867564563
"NSW",26153,"NSW","Female",2016,143365,201936,226743,491897,485894,447972,354081,189642,64035,2605565,100.3736233791903
"SA",6347,"SA","Female",2021,31309,46466,50901,109473,102223,107099,98093,66837,22382,634783,99.98692466559439
"SA",6347,"SA","Male",2018,32129,48498,51190,105486,106255,109658,95992,62248,24787,636243,99.75748259705804
"NSW",26153,"NSW","Male",2014,144666,202942,217932,476857,483801,462110,368163,202195,78991,2637657,99.15239168701616
"SA",6347,"SA","Male",2019,31721,48958,51754,107314,105260,109442,97146,64868,25830,642293,98.81782924615402
"NSW",26153,"NSW","Female",2017,144158,203730,231063,504518,489871,450863,360249,205145,67670,2657267,98.42067056114422
"SA",6347,"SA","Male",2020,30830,48798,52952,109157,104653,109448,98067,67837,27012,648760,97.8327887046057
"NSW",26153,"NSW","Male",2015,145142,205116,223392,488552,489526,467314,376425,211174,81355,2687996,97.29553168977931
"SA",6347,"SA","Female",2022,32745,46759,52736,113528,103356,108017,100462,71213,23862,652678,97.24550237636322
"NSW",26153,"NSW","Female",2018,146703,204585,233564,515560,493287,452663,368437,217945,71186,2703930,96.72217845876187
"SA",6347,"SA","Female",2023,33561,46553,53110,114417,104409,107775,101056,72611,24577,658069,96.44885262791591
"SA",6347,"SA","Male",2021,32543,48923,54521,111365,104117,109452,99868,70735,27578,659102,96.29768988714949
"NSW",26153,"NSW","Male",2016,146098,206049,228090,500233,492494,469627,384945,220383,84385,2732304,95.71775322218903
