"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"WA",0,"WA","Male",2018,54003,81939,94344,204256,183906,167689,131895,80925,29391,1028348,0
"WA",0,"WA","Male",2019,53317,81905,92528,204584,182441,169283,134024,84926,30319,1033327,0
"WA",0,"WA","Male",2020,53654,81921,91612,205920,182520,170731,135994,88180,31588,1042120,0
"WA",0,"WA","Male",2021,53756,81603,91044,206549,182844,173041,138273,91469,32563,1051142,0
"WA",0,"WA","Male",2022,56633,82338,92360,207860,185381,175477,141524,94775,34789,1071137,0
"WA",0,"WA","Male",2023,59128,84333,97458,212316,190089,177272,145202,98921,36385,1101104,0
"WA",0,"WA","Male",2024,61989,87529,103228,219322,196131,178487,148841,102238,38630,1136395,0
"WA",0,"WA","Persons",2010,48556,132960,150778,306966,320360,279629,195751,98845,32620,1566465,0
"WA",0,"WA","Persons",2011,46703,135289,156966,309917,327335,286781,205556,102466,34780,1605793,0
"WA",0,"WA","Persons",2012,43637,131116,157227,310812,330205,292454,213651,107443,36681,1623226,0
"WA",0,"WA","Persons",2013,102065,165828,192910,354616,353343,308463,225529,113088,38604,1854446,0
"WA",0,"WA","Persons",2014,102413,164054,197154,367352,355874,315275,233679,120458,40301,1896560,0
"WA",0,"WA","Persons",2015,103386,161666,197094,378025,357228,319673,241032,127028,43298,1928430,0
"WA",0,"WA","Persons",2016,104949,159057,193549,386029,357871,321531,249552,133959,46382,1952879,0
"WA",0,"WA","Persons",2017,104482,156731,186824,389699,356505,323108,252302,145374,50006,1965031,0
"WA",0,"WA","Persons",2018,105084,155001,180116,391072,354869,324924,257347,155203,54159,1977775,0
"WA",0,"WA","Persons",2019,104011,155544,176248,393419,353480,327646,262236,163343,56453,1992380,0
"WA",0,"WA","Persons",2020,104380,155636,174048,397417,354131,330739,267221,170562,59202,2013336,0
"WA",0,"WA","Persons",2021,104380,155829,172995,400462,355148,335564,272676,177876,61352,2036282,0
"WA",0,"WA","Persons",2022,109416,157251,175675,404703,360036,340695,279346,185439,65702,2078263,0
"WA",0,"WA","Persons",2023,114080,159968,182629,412190,368903,343951,286467,194772,69297,2132257,0
"WA",0,"WA","Persons",2024,119545,164323,191553,423121,380167,346702,293147,202412,73846,2194816,0
"TAS",0,"TAS","Female",2010,10868,14173,13896,29298,34329,33810,25718,12968,4177,179237,0
"TAS",0,"TAS","Female",2011,10662,14148,13968,28851,34283,34699,26903,13534,4400,181448,0
"TAS",0,"TAS","Female",2012,10387,13810,13503,27942,33654,34944,27806,14122,4702,180870,0
"TAS",0,"TAS","Female",2013,10155,13471,13435,27297,33087,35005,28883,14701,4997,181031,0
"TAS",0,"TAS","Female",2014,10134,13254,13192,27046,32439,35187,29763,15516,5352,181883,0
"TAS",0,"TAS","Female",2015,10177,13468,13033,27207,32301,35147,30694,16609,5784,184420,0
"TAS",0,"TAS","Female",2016,10296,13538,13417,27926,32355,35334,31707,17865,6553,188991,0
"TAS",0,"TAS","Female",2017,10246,13508,13554,27943,31580,35167,32003,19185,6796,189982,0
"TAS",0,"TAS","Female",2018,10306,13713,14023,28905,31638,35113,32727,20300,7155,193880,0
"TAS",0,"TAS","Female",2019,9975,14189,14701,30368,31531,35328,33503,21660,7524,198779,0
"TAS",0,"TAS","Female",2020,9819,14149,15447,31574,31267,35102,33932,22857,8259,202406,0
"TAS",0,"TAS","Female",2021,9993,14367,16582,33028,31026,35064,34632,23856,8881,207429,0
"TAS",0,"TAS","Female",2022,10278,14438,17174,34448,31099,34918,35207,24733,9271,211566,0
"TAS",0,"TAS","Female",2023,10716,13911,16849,35287,31099,34792,35429,25783,9598,213464,0
"TAS",0,"TAS","Female",2024,11124,13727,16546,35892,31313,34398,35759,26604,10148,215511,0
"TAS",0,"TAS","Male",2010,11033,14365,13728,28504,33986,34185,27704,14952,5597,184054,0
"TAS",0,"TAS","Male",2011,10885,14344,13971,28105,33870,34707,28764,15373,5829,185848,0
"TAS",0,"TAS","Male",2012,10752,13844,13600,27026,33010,34642,29645,15892,6078,184489,0
"TAS",0,"TAS","Male",2013,10540,13751,13319,26705,32217,34626,30413,16462,6231,184264,0
"TAS",0,"TAS","Male",2014,10218,13679,13110,26354,31570,34893,30710,17322,6492,184348,0
"TAS",0,"TAS","Male",2015,10184,13740,13111,26406,31118,34930,31396,18170,6821,185876,0
"TAS",0,"TAS","Male",2016,10280,14010,13580,27055,31342,34949,32490,19216,7392,190314,0
"TAS",0,"TAS","Male",2017,10191,13863,13553,27090,30718,34492,32258,20518,7550,190233,0
"TAS",0,"TAS","Male",2018,10265,13930,14323,28285,30537,34326,32754,21605,7868,193893,0
"TAS",0,"TAS","Male",2019,10055,14250,15620,30256,30501,34579,33497,22612,8303,199673,0
"TAS",0,"TAS","Male",2020,9826,14324,16658,32057,30423,34440,33862,23595,8846,204031,0
"TAS",0,"TAS","Male",2021,9935,14601,17941,33970,30072,34364,34271,24392,9288,208834,0
"TAS",0,"TAS","Male",2022,10375,14484,18474,35199,29991,34063,34573,25243,9708,212110,0
"TAS",0,"TAS","Male",2023,10818,14069,17528,35912,30180,33618,34835,26048,10056,213064,0
"TAS",0,"TAS","Male",2024,11443,13966,16758,36273,30348,33286,35220,26386,10674,214354,0
"TAS",0,"TAS","Persons",2010,21901,28538,27624,57802,68315,67995,53422,27920,9774,363291,0
"TAS",0,"TAS","Persons",2011,21547,28492,27939,56956,68153,69406,55667,28907,10229,367296,0
"TAS",0,"TAS","Persons",2012,21139,27654,27103,54968,66664,69586,57451,30014,10780,365359,0
"TAS",0,"TAS","Persons",2013,20695,27222,26754,54002,65304,69631,59296,31163,11228,365295,0
"TAS",0,"TAS","Persons",2014,20352,26933,26302,53400,64009,70080,60473,32838,11844,366231,0
"TAS",0,"TAS","Persons",2015,20361,27208,26144,53613,63419,70077,62090,34779,12605,370296,0
"TAS",0,"TAS","Persons",2016,20576,27548,26997,54981,63697,70283,64197,37081,13945,379305,0
"TAS",0,"TAS","Persons",2017,20437,27371,27107,55033,62298,69659,64261,39703,14346,380215,0
"TAS",0,"TAS","Persons",2018,20571,27643,28346,57190,62175,69439,65481,41905,15023,387773,0
"TAS",0,"TAS","Persons",2019,20030,28439,30321,60624,62032,69907,67000,44272,15827,398452,0
"TAS",0,"TAS","Persons",2020,19645,28473,32105,63631,61690,69542,67794,46452,17105,406437,0
"TAS",0,"TAS","Persons",2021,19928,28968,34523,66998,61098,69428,68903,48248,18169,416263,0
"TAS",0,"TAS","Persons",2022,20653,28922,35648,69647,61090,68981,69780,49976,18979,423676,0
"TAS",0,"TAS","Persons",2023,21534,27980,34377,71199,61279,68410,70264,51831,19654,426528,0
"TAS",0,"TAS","Persons",2024,22567,27693,33304,72165,61661,67684,70979,52990,20822,429865,0
"ACT",0,"ACT","Female",2010,8543,13928,15520,28977,26512,23188,14971,6305,2780,140724,0
"ACT",0,"ACT","Female",2011,8706,14072,15763,29561,26972,23532,15788,6636,3048,144078,0
"ACT",0,"ACT","Female",2012,8581,14401,16193,30372,27560,23826,16582,7125,3307,147947,0
"ACT",0,"ACT","Female",2013,8336,14421,16489,31080,28214,24003,17301,7562,3576,150982,0
"ACT",0,"ACT","Female",2014,8199,14419,16448,31843,29544,24387,17878,8082,3903,154703,0
"ACT",0,"ACT","Female",2015,8290,14442,16454,31843,28544,24384,17867,8078,3903,153805,0
"ACT",0,"ACT","Female",2016,8575,13576,16365,34868,29879,25313,19455,10517,3868,162416,0
"ACT",0,"ACT","Female",2017,8539,14033,16682,34616,29410,24852,18930,10211,3406,160679,0
"ACT",0,"ACT","Female",2018,8310,13982,16995,35836,29972,24991,19191,10937,3591,163805,0
"ACT",0,"ACT","Female",2019,8155,13431,16522,35837,29920,24765,19342,11577,3794,163343,0
"ACT",0,"ACT","Female",2020,7247,12751,15851,35454,29926,24704,19225,12278,4043,161479,0
"ACT",0,"ACT","Female",2021,5716,12165,15705,35571,30277,25009,19310,13038,4317,161108,0
"ACT",0,"ACT","Female",2022,8504,12423,16475,36167,30686,25139,19318,13573,4794,167079,0
"ACT",0,"ACT","Female",2023,8931,12072,16556,36502,31207,25645,19528,14257,5168,169866,0
"ACT",0,"ACT","Female",2024,9199,11814,16273,36804,32081,25865,19934,14800,5680,172450,0
"ACT",0,"ACT","Male",2010,9186,14594,15948,29876,26886,23056,16164,7203,3497,146410,0
"ACT",0,"ACT","Male",2011,9022,15067,16457,30452,27571,23405,16831,7442,3849,150096,0
"ACT",0,"ACT","Male",2012,8887,15245,16913,31435,28147,23842,17383,7938,4104,153894,0
"ACT",0,"ACT","Male",2013,8555,15397,17050,32390,28711,24059,17996,8294,4400,156852,0
"ACT",0,"ACT","Male",2014,8452,15182,17050,33306,29204,24416,18459,8749,4723,159541,0
"ACT",0,"ACT","Male",2015,8515,15049,16864,33045,29036,24302,18360,8623,4668,158462,0
"ACT",0,"ACT","Male",2016,8646,14176,16798,35636,30792,25262,19353,10834,4462,165959,0
"ACT",0,"ACT","Male",2017,8422,14520,16987,35443,30299,24750,18829,10474,4013,163737,0
"ACT",0,"ACT","Male",2018,8305,14484,17402,36441,30755,25077,18987,11099,4155,166705,0
"ACT",0,"ACT","Male",2019,8306,14036,16973,36283,30900,24928,18797,11695,4271,166189,0
"ACT",0,"ACT","Male",2020,7535,13307,16829,36216,30724,24851,18643,12239,4531,164875,0
"ACT",0,"ACT","Male",2021,5907,12758,17055,36723,31083,25259,18835,12773,4738,165131,0
"ACT",0,"ACT","Male",2022,8805,12949,17309,36683,31195,25080,18027,12360,5096,167504,0
"ACT",0,"ACT","Male",2023,9404,13024,17227,37092,32021,25637,18318,13104,5346,171173,0
"ACT",0,"ACT","Male",2024,9793,12890,16737,37503,32928,26216,19202,13981,5756,175006,0
"ACT",0,"ACT","Persons",2010,17729,28522,31468,58853,53398,46244,31135,13508,6277,287134,0
"ACT",0,"ACT","Persons",2011,17728,29139,32220,60013,54543,46937,32619,14078,6897,294174,0
"ACT",0,"ACT","Persons",2012,17468,29646,33106,61807,55707,47668,33965,15063,7411,301841,0
"ACT",0,"ACT","Persons",2013,16891,29818,33539,63470,56925,48062,35297,15856,7976,307834,0
"ACT",0,"ACT","Persons",2014,16651,29601,33498,65149,58748,48803,36337,16831,8626,314244,0
"ACT",0,"ACT","Persons",2015,16805,29491,33318,64888,57580,48686,36227,16701,8571,312267,0
"ACT",0,"ACT","Persons",2016,17221,27752,33163,70505,60671,50576,38808,21351,8330,328377,0
"ACT",0,"ACT","Persons",2017,16967,28556,33674,70064,59711,49603,37759,20686,7419,324439,0
"ACT",0,"ACT","Persons",2018,16624,28476,34411,72295,60732,50075,38178,22037,7746,330574,0
"ACT",0,"ACT","Persons",2019,16473,27479,33522,72151,60832,49701,38141,23273,8065,329637,0
"ACT",0,"ACT","Persons",2020,14798,26071,32701,71723,60671,49567,37870,24519,8575,326495,0
"ACT",0,"ACT","Persons",2021,11646,24947,32797,72367,61392,50286,38147,25816,9056,326454,0
"ACT",0,"ACT","Persons",2022,17364,25413,33834,72940,61925,50241,37352,25940,9891,334900,0
"ACT",0,"ACT","Persons",2023,18403,25149,33840,73700,63278,51307,37855,27372,10516,341420,0
"ACT",0,"ACT","Persons",2024,19066,24762,33079,74422,65074,52110,39147,28791,11441,347892,0
